127.0.0.1 - - [13/Aug/2024:12:11:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:11:16 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:11:16 +0900] "GET /CSS/image/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:11:16 +0900] "GET /CSS/image/spade-7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:11:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:36:08 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:37:17 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:38:52 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:39:22 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:40:15 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:41:07 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:41:32 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:42:09 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:42:31 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:45:09 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:45:23 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:46:26 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:47:41 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:48:06 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:48:16 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:52:15 +0900] "GET /CSS/practice/practice03.html HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:52:45 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:13:58:49 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:13:59:24 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [13/Aug/2024:13:59:50 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:02:33 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:02:54 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:02:57 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:03:13 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:04:39 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:04:41 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:04:47 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:11:16 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:11:46 +0900] "GET /CSS/practice/practice04.html HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:16:13 +0900] "GET /CSS/05_cssPositioning/exam08_.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:17:57 +0900] "GET /CSS/05_cssPositioning/exam08_.html HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [13/Aug/2024:14:18:26 +0900] "GET /CSS/05_cssPositioning/exam08_Blank.html HTTP/1.1" 200 321
